;;Min.;Median;Mean;Max.;;;;;
AM;Max. Temperature;25,29;27,05;27,24;29,55;CA;10,60;18,33;18,54;28,59
AM;Min. Temperature;24,76;26,20;26,36;28,28;;-1,76;4,90;4,91;11,92
AM;Precipitation;0,00;0,11;0,33;2,40;;0,01;4,66;20,98;162,67
CE;Max. Temperature;25,91;27,73;27,68;28,99;IL;-6,39;8,40;8,99;26,06
CE;Min. Temperature;25,14;26,62;26,60;27,90;;-19,42;-0,42;-0,75;14,63
CE;Precipitation;0,00;0,12;0,25;1,31;;0,00;4,29;23,30;196,47
PE;Max. Temperature;24,27;26,30;26,10;27,96;MA;-2,77;8,32;8,16;18,70
PE;Min. Temperature;23,36;25,18;25,05;26,74;;-14,75;-0,86;-1,76;5,39
PE;Precipitation;0,00;0,14;0,23;1,33;;0,00;6,84;34,66;320,86
RJ;Max. Temperature;19,69;22,16;22,56;26,49;NJ;0,54;10,78;11,22;22,02
RJ;Min. Temperature;19,07;21,23;21,57;25,33;;-11,80;1,60;0,96;7,27
RJ;Precipitation;0,00;0,03;0,13;1,32;;0,00;5,44;31,53;274,04
SP;Max. Temperature;18,76;21,11;21,37;25,03;NY;-7,98;5,62;6,23;17,88
SP;Min. Temperature;17,60;19,99;20,09;23,40;;-20,48;-2,61;-3,75;4,60
SP;Precipitation;0,00;0,00;0,12;1,19;;0,00;9,94;27,61;167,94
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
