codigo_estacao;data;hora;temp_inst;temp_max;temp_min;umid_inst;umid_max;umid_min;pto_orvalho_inst;pto_orvalho_max;pto_orvalho_min;pressao;pressao_max;pressao_min;vento_vel;vento_direcao; vento_rajada;radiacao;precipitacao
A101;2020/03/13;0;31.1;31.8;31.1;65;65;59;23.8;23.8;22.9;1001.1;1001.1;1000.2;1.9;86;3.8;0.000;0.0
A101;2020/03/13;1;30.6;31.1;30.6;68;68;65;24.1;24.2;23.7;1002.1;1002.1;1001.1;1.4;85;4.2;0.000;0.0
A101;2020/03/13;2;30.3;30.6;30.1;70;71;68;24.2;24.5;24.0;1003.3;1003.3;1002.1;1.9;90;4.4;0.000;0.0
A101;2020/03/13;3;29.7;30.3;29.7;71;71;69;23.9;24.2;23.8;1003.3;1003.5;1003.3;2.4;85;4.5;0.000;0.0
A101;2020/03/13;4;29.1;29.7;29.1;75;75;71;24.1;24.1;23.9;1003.1;1003.4;1003.1;2.0;85;4.6;0.000;0.0
A101;2020/03/13;5;28.5;29.1;28.5;78;78;75;24.2;24.3;24.1;1002.7;1003.1;1002.7;1.8;71;3.9;0.000;0.0
A101;2020/03/13;6;28.3;28.6;28.2;78;78;78;24.1;24.3;24.1;1002.4;1002.7;1002.4;1.2;85;3.3;0.000;0.0
A101;2020/03/13;7;28.0;28.3;28.0;79;79;77;24.1;24.1;23.9;1002.3;1002.5;1002.3;1.3;79;2.9;0.000;0.0
A101;2020/03/13;8;27.7;28.1;27.7;84;84;79;24.8;24.9;24.1;1002.5;1002.6;1002.3;1.1;106;3.1;0.000;0.0
A101;2020/03/13;9;27.5;27.8;27.5;85;85;83;24.7;24.8;24.7;1003.0;1003.0;1002.5;1.3;135;4.4;0.000;0.0
A101;2020/03/13;10;27.3;27.5;27.3;85;85;84;24.5;24.7;24.5;1003.6;1003.6;1003.0;1.8;87;3.9;0.000;0.0
A101;2020/03/13;11;27.8;27.8;27.2;83;85;83;24.7;24.7;24.5;1004.2;1004.2;1003.6;1.7;87;3.9;114.5;0.0
A101;2020/03/13;12;29.7;29.7;27.8;71;83;70;23.9;24.9;23.6;1004.6;1004.6;1004.2;2.2;64;4.7;759.2;0.0
A101;2020/03/13;13;30.3;30.3;29.5;67;71;66;23.6;23.8;23.0;1005.4;1005.4;1004.6;3.5;75;8.5;1540.;0.0
A101;2020/03/13;14;30.9;31.2;29.9;65;67;64;23.6;23.8;23.0;1005.4;1005.5;1005.3;3.1;81;8.8;2489.;0.0
A101;2020/03/13;15;32.5;32.6;30.9;61;66;59;24.0;24.3;23.1;1005.0;1005.4;1005.0;2.5;90;6.3;3290.;0.0
A101;2020/03/13;16;32.9;33.5;31.8;55;62;55;22.7;24.5;22.7;1004.4;1005.0;1004.4;2.7;81;6.4;3140.;0.0
A101;2020/03/13;17;33.3;33.7;32.4;57;62;55;23.7;24.9;22.8;1002.8;1004.4;1002.8;2.4;105;5.9;2809.;0.0
A101;2020/03/13;18;33.6;34.2;32.8;53;59;52;22.9;24.5;22.5;1001.8;1002.8;1001.7;3.2;114;6.5;2736.;0.0
A101;2020/03/13;19;31.3;33.8;31.2;55;61;54;21.1;23.9;21.1;1000.8;1001.8;1000.6;2.1;37;7.7;907.5;0.0
A101;2020/03/13;20;31.9;31.9;30.6;61;64;55;23.3;23.4;21.2;1000.3;1000.8;1000.1;1.2;19;6.6;925.7;0.0
A101;2020/03/13;21;29.9;31.9;29.9;68;69;58;23.3;23.6;22.4;1000.0;1000.4;1000.0;2.7;57;7.0;645.2;0.0
A101;2020/03/13;22;29.5;29.9;29.4;65;69;65;22.2;23.5;22.2;1000.4;1000.5;999.9;1.3;31;6.4;166.3;0.0
A101;2020/03/13;23;28.8;29.5;28.8;67;68;64;22.1;22.2;21.8;1001.1;1001.1;1000.3;1.7;51;3.9;4.453;0.0
A101;2020/03/14;0;28.3;28.8;28.3;70;70;67;22.2;22.4;22.1;1001.7;1001.7;1001.1;0.6;28;4.9;0.000;0.0
A101;2020/03/14;1;28.1;28.9;28.0;74;74;68;22.9;23.0;22.2;1003.4;1003.4;1001.7;1.4;75;4.3;0.000;0.0
A101;2020/03/14;2;28.1;28.1;27.4;75;78;74;23.3;23.5;23.0;1004.3;1004.3;1003.4;1.1;61;3.1;0.000;0.0
A101;2020/03/14;3;28.1;28.4;27.9;74;75;72;23.0;23.3;22.9;1004.5;1004.7;1004.2;1.0;66;2.6;0.000;0.0
A101;2020/03/14;4;28.3;28.4;27.9;72;75;72;22.9;23.2;22.8;1003.9;1004.5;1003.9;1.7;77;2.8;0.000;0.0
A101;2020/03/14;5;28.2;28.4;28.2;74;74;72;23.0;23.1;22.8;1003.0;1003.9;1003.0;1.3;79;2.7;0.000;0.0
A101;2020/03/14;6;28.2;28.2;28.0;76;76;74;23.6;23.6;23.0;1002.5;1003.0;1002.5;1.5;77;2.7;0.000;0.0
A101;2020/03/14;7;28.1;28.3;28.0;80;80;76;24.3;24.3;23.5;1002.3;1002.5;1002.3;1.1;131;2.7;0.000;0.0
A101;2020/03/14;8;28.0;28.2;28.0;79;83;79;24.1;24.8;24.1;1002.4;1002.4;1002.3;1.0;166;3.2;0.000;0.0
A101;2020/03/14;9;27.1;28.0;27.1;86;87;79;24.5;25.0;24.1;1002.5;1002.5;1002.3;1.8;197;4.1;0.000;0.0
A101;2020/03/14;10;26.9;27.1;26.8;88;88;86;24.8;24.8;24.5;1002.7;1002.7;1002.5;1.8;193;4.3;0.000;0.0
A101;2020/03/14;11;26.8;26.9;26.7;86;88;86;24.3;24.8;24.2;1003.5;1003.6;1002.7;1.7;215;5.3;87.37;0.0
A101;2020/03/14;12;24.5;26.9;24.5;93;93;85;23.2;24.4;23.1;1006.3;1006.3;1003.5;1.6;28;6.5;172.1;17.8
A101;2020/03/14;13;23.8;24.5;23.7;94;94;93;22.8;23.3;22.6;1007.4;1007.6;1006.3;1.0;113;6.5;48.39;32.6
A101;2020/03/14;14;24.4;24.4;23.8;94;94;94;23.4;23.4;22.8;1007.6;1007.6;1007.2;1.2;64;2.4;31.38;3.0
A101;2020/03/14;15;24.6;24.8;24.4;94;94;93;23.5;23.8;23.4;1007.4;1007.6;1007.4;1.6;309;4.1;82.43;5.2
A101;2020/03/14;16;23.6;24.6;23.6;93;94;92;22.3;23.5;22.3;1007.3;1007.4;1007.1;1.7;320;6.7;201.3;2.8
A101;2020/03/14;17;24.2;24.4;23.6;92;93;92;22.9;23.2;22.4;1006.2;1007.3;1006.2;1.5;295;5.2;526.4;2.0
A101;2020/03/14;18;24.4;24.8;24.2;92;93;90;22.9;23.5;22.8;1005.7;1006.2;1005.7;1.6;255;3.8;438.8;0.4
