"date","state","prec","tmax","tmin"
2020-01-22,"California"," 49.67301","138.82143"," 46.73214"
2020-01-23,"California","  1.386694","160.060000"," 38.220000"
2020-01-24,"California"," 18.96275","168.07843"," 45.74510"
2020-01-25,"California"," 15.28543","171.80000"," 53.12245"
2020-01-26,"California","103.44634","166.72727"," 62.81481"
2020-01-27,"California"," 14.30469","170.25926"," 46.12963"
2020-01-28,"California"," 21.75828","172.75472"," 43.88462"
2020-01-29,"California","  6.181287","169.653846"," 29.576923"
2020-01-30,"California","  7.48847","170.35417"," 40.93617"
2020-01-31,"California","  0.4514039","193.0200000"," 38.4600000"
2020-02-01,"California","  0.6581197","215.0222222"," 38.6136364"
2020-02-02,"California","  3.383795","196.116279"," 36.904762"
2020-02-03,"California","  6.054656","144.122449","  5.000000"
2020-02-04,"California","  0.06971678","106.04878049","-17.56097561"
2020-02-05,"California","  0.1866953","120.3750000","-15.1500000"
2020-02-06,"California","  0.1070664","151.5750000","  5.4250000"
2020-02-07,"California","  0.1209503","181.1777778","  6.8444444"
2020-02-08,"California","  1.060215","190.108696"," 19.222222"
2020-02-09,"California","  1.027368","162.477273"," 30.295455"
2020-02-10,"California"," 19.65868","165.31250"," 32.93878"
2020-02-11,"California","  4.230769","183.978723"," 27.191489"
2020-02-12,"California","  0.05010893","184.90697674"," 12.95348837"
2020-02-13,"California","  0.09170306","173.93023256","  9.53488372"
2020-02-14,"California","  0.02614379","179.65909091"," 15.62790698"
2020-02-15,"California","  0.04585153","187.11363636"," 20.79545455"
2020-02-16,"California","  5.358974","190.638298"," 35.652174"
2020-02-17,"California","  4.488121","200.125000"," 39.687500"
2020-02-18,"California","  0.05446623","187.68181818"," 30.59090909"
2020-02-19,"California","  0.05482456","180.81395349"," 23.23255814"
2020-02-20,"California","  0.0371179","195.6046512"," 28.4883721"
2020-02-21,"California","  0.01969365","204.02272727"," 44.27906977"
2020-02-22,"California","  4.672032","196.294118"," 63.960000"
2020-02-23,"California"," 21.47379","176.53061"," 53.27083"
2020-02-24,"California","  0.9725159","190.5652174"," 30.1304348"
2020-02-25,"California","  0.04130435","214.86363636"," 40.95348837"
2020-02-26,"California","  0.02173913","220.19047619"," 40.69047619"
2020-02-27,"California","  0.01758242","225.27272727"," 45.29545455"
2020-02-28,"California","  0.09190372","236.84444444"," 58.00000000"
2020-02-29,"California","  0.5327511","216.9782609"," 57.0000000"
2020-03-01,"California","  3.310417","189.114754"," 61.600000"
2020-03-02,"California","  9.268714","169.810345"," 30.620690"
2020-03-03,"California","  0.6940928","204.6666667"," 36.2727273"
2020-03-04,"California","  0.03205128","227.03636364"," 50.62962963"
2020-03-05,"California","  0.05639913","231.17857143"," 58.55357143"
2020-03-06,"California","  0.7854077","219.7758621"," 64.8771930"
2020-03-07,"California"," 16.82018","198.62121"," 68.12308"
2020-03-08,"California"," 28.91141","159.27778"," 45.77465"
2020-03-09,"California","  4.641548","182.184615"," 54.569231"
2020-03-10,"California"," 46.74618","188.76667"," 68.66667"
2020-03-11,"California"," 39.74047","193.93846"," 69.41538"
2020-03-12,"California"," 17.50696","205.58462"," 71.87302"
2020-03-13,"California","120.73462","188.83582"," 63.95455"
2020-03-14,"California"," 37.08919","170.42254"," 73.73239"
2020-03-15,"California","124.5371","156.5385"," 64.1875"
2020-03-16,"California"," 99.17065","139.58333"," 49.96610"
2020-03-17,"California"," 98.94702","123.38235"," 20.28986"
2020-03-18,"California"," 33.94710","124.56944"," 21.84286"
2020-03-19,"California"," 31.53054","127.25000"," 25.71053"
2020-03-20,"California"," 18.42214","146.92647"," 26.22388"
2020-03-21,"California","  5.106212","165.982456"," 48.910714"
2020-03-22,"California","  4.154158","182.661017"," 50.250000"
2020-03-23,"California"," 78.65398","175.45161"," 60.80645"
2020-03-24,"California"," 25.14991","163.06061"," 58.04545"
2020-03-25,"California"," 45.10943","145.51471"," 42.07463"
2020-03-26,"California"," 21.39405","135.73611"," 13.27778"
2020-03-27,"California"," 12.72505","138.59677"," 19.22581"
2020-03-28,"California","  6.493433","142.014925"," 28.818182"
2020-03-29,"California"," 27.28055","152.30882"," 50.54545"
2020-03-30,"California"," 12.93911","172.24615"," 49.01538"
2020-03-31,"California"," 22.03175","197.24194"," 64.55738"
2020-04-01,"California","  5.302469","197.109091"," 56.127273"
2020-04-02,"California","  0.1361702","187.4615385"," 33.4705882"
2020-04-03,"California","  0.09565217","180.94642857"," 30.39285714"
2020-04-04,"California"," 10.62702","180.05357"," 47.25000"
2020-04-05,"California","162.66610","160.98413"," 66.93548"
2020-04-06,"California","159.09764","145.88060"," 53.14925"
2020-04-07,"California","105.19773","157.57692"," 45.82278"
2020-04-08,"California"," 67.67647","165.40000"," 52.15942"
2020-04-09,"California"," 39.28497","154.80597"," 59.27273"
2020-04-10,"California"," 96.96903","160.37838"," 63.56757"
2020-04-11,"California"," 60.58268","181.97297"," 69.28378"
2020-04-12,"California","  1.093418","195.310811"," 87.630137"
2020-04-13,"California","  9.524096","190.716216"," 70.320000"
2020-04-14,"California","  0.7115385","203.9852941"," 54.6029412"
2020-04-15,"California","6.681514e-03","2.271538e+02","5.512698e+01"
2020-04-16,"California","  0.2942478","234.4857143"," 71.1449275"
2020-04-17,"California","  0.7236842","223.3243243"," 82.4324324"
2020-04-18,"California"," 11.03870","197.56790"," 87.06173"
2020-04-19,"California","  2.923404","195.137500"," 82.615385"
2020-04-20,"California","  1.475446","198.285714"," 75.200000"
2020-04-21,"California","  2.894737","198.767442"," 70.916667"
2020-04-22,"California","  0.2240185","230.5595238"," 75.5833333"
2020-04-23,"California","  8.675115","257.685393","102.250000"
2020-04-24,"California","  0.3309353","268.0898876","103.4090909"
2020-04-25,"California","  0.1034483","285.9292929","119.1530612"
2020-04-26,"California","  0.2111959","277.1792453","109.5384615"
2020-04-27,"California","  0.1267606","264.2720000"," 97.8387097"
2020-04-28,"California","  0.4974619","266.0325581","114.1488372"
