codigo_estacao;data;hora;temp_inst;temp_max;temp_min;umid_inst;umid_max;umid_min;pto_orvalho_inst;pto_orvalho_max;pto_orvalho_min;pressao;pressao_max;pressao_min;vento_vel;vento_direcao; vento_rajada;radiacao;precipitacao
A305;16/03/2020;0;25.9;26.0;25.8;90;90;88;24.1;24.2;23.8;1008.6;1008.6;1008.1;0.6;197;1.5;6.881;0.0
A305;16/03/2020;1;25.7;25.9;25.6;90;90;90;24.0;24.1;23.8;1009.2;1009.2;1008.6;0.8;186;1.6;4.685;0.0
A305;16/03/2020;2;25.5;25.8;25.5;90;91;90;23.8;24.1;23.8;1008.9;1009.4;1008.9;0.5;175;1.6;4.247;0.0
A305;16/03/2020;3;25.4;25.6;25.3;91;91;90;23.7;23.9;23.7;1008.2;1008.9;1008.2;0.1;187;1.4;6.057;0.0
A305;16/03/2020;4;25.5;25.5;25.3;91;91;91;23.9;23.9;23.7;1007.5;1008.2;1007.5;0.6;157;1.6;7.699;1.0
A305;16/03/2020;5;25.3;25.6;25.2;91;91;91;23.8;24.1;23.7;1007.2;1007.5;1007.2;0.1;194;1.6;9.448;0.0
A305;16/03/2020;6;24.8;25.5;24.4;92;92;91;23.4;24.0;23.0;1007.4;1007.4;1006.9;0.9;62;4.7;9.696;5.2
A305;16/03/2020;7;24.1;24.8;24.1;91;92;90;22.6;23.4;22.5;1007.8;1007.8;1007.3;1.0;198;6.5;11.58;1.8
A305;16/03/2020;8;24.2;24.3;24.1;92;92;91;22.8;22.8;22.6;1008.0;1008.1;1007.6;0.0;189;2.6;10.72;0.6
A305;16/03/2020;9;24.3;24.4;24.2;92;92;92;22.9;23.0;22.8;1008.9;1008.9;1008.0;0.6;218;3.3;13.66;0.0
A305;16/03/2020;10;24.5;24.5;24.3;92;92;92;23.1;23.2;22.9;1009.1;1009.1;1008.9;1.4;186;3.2;86.89;0.0
A305;16/03/2020;11;25.6;25.7;24.5;91;92;91;24.1;24.1;23.2;1010.0;1010.0;1009.1;1.3;187;2.9;369.1;0.0
A305;16/03/2020;12;26.6;26.8;25.6;82;91;82;23.3;24.2;23.2;1010.8;1010.8;1010.0;2.2;179;4.9;733.9;0.0
A305;16/03/2020;13;28.1;28.1;26.6;77;83;77;23.7;24.2;23.2;1010.7;1011.0;1010.7;3.1;195;5.8;1334.;0.0
A305;16/03/2020;14;29.7;29.7;27.8;72;78;71;24.1;24.5;23.1;1010.2;1010.7;1010.2;2.4;192;5.8;2354.;0.0
A305;16/03/2020;15;29.9;30.9;29.7;69;72;64;23.6;24.9;22.8;1009.5;1010.3;1009.5;1.8;131;4.9;2420.;0.0
A305;16/03/2020;16;30.7;31.8;29.9;62;69;57;22.6;24.0;21.8;1008.1;1009.5;1008.1;1.6;127;4.1;2136.;0.0
A305;16/03/2020;17;30.9;31.5;30.4;63;67;60;23.0;23.8;22.5;1007.4;1008.0;1007.3;3.1;90;6.6;1586.;0.0
A305;16/03/2020;18;30.0;31.5;29.5;65;70;60;22.6;24.1;22.3;1007.2;1007.5;1007.1;2.2;98;6.6;1308.;0.0
A305;16/03/2020;19;29.6;30.2;29.5;69;71;65;23.4;23.7;22.6;1007.3;1007.4;1007.1;1.3;70;4.9;680.3;0.0
A305;16/03/2020;20;28.4;29.6;28.4;74;74;69;23.3;23.8;23.1;1008.1;1008.1;1007.3;1.7;102;3.2;376.6;0.0
A305;16/03/2020;21;27.4;28.4;27.4;79;79;74;23.4;23.5;23.2;1008.9;1008.9;1008.0;0.1;205;3.1;97.10;0.0
A305;16/03/2020;22;26.8;27.4;26.8;79;81;79;22.9;23.5;22.9;1009.3;1009.4;1008.9;0.3;244;1.9;3.886;0.0
A305;16/03/2020;23;25.8;26.8;25.7;81;86;79;22.4;23.2;22.4;1009.9;1009.9;1009.2;0.8;280;2.3;-0.74;0.0
A305;17/03/2020;0;25.3;25.9;25.3;82;83;80;22.0;22.4;22.0;1010.5;1010.5;1009.9;0.4;290;2.3;1.627;0.0
A305;17/03/2020;1;25.3;25.5;25.2;84;84;81;22.3;22.3;21.8;1011.0;1011.1;1010.5;0.0;279;1.4;1.023;0.0
A305;17/03/2020;2;25.2;25.3;24.9;88;88;83;23.1;23.1;22.2;1010.9;1011.1;1010.9;0.1;313;0.8;1.182;0.0
A305;17/03/2020;3;25.0;25.2;25.0;90;90;88;23.2;23.2;23.0;1010.3;1010.9;1010.3;0.0;265;1.1;3.296;0.6
A305;17/03/2020;4;24.7;25.1;24.7;90;90;90;23.0;23.2;23.0;1009.4;1010.3;1009.4;0.5;227;1.9;2.917;0.4
A305;17/03/2020;5;24.5;24.7;24.5;91;91;90;22.9;23.1;22.9;1009.1;1009.5;1009.1;0.1;234;2.1;3.698;0.0
A305;17/03/2020;6;24.4;24.6;24.4;91;91;91;22.9;23.0;22.8;1008.8;1009.1;1008.7;0.1;221;1.8;3.104;0.0
A305;17/03/2020;7;24.6;24.6;24.3;92;92;91;23.2;23.2;22.8;1009.3;1009.3;1008.8;0.2;136;1.1;3.317;0.0
A305;17/03/2020;8;24.4;24.6;24.3;92;92;92;23.0;23.2;22.9;1009.3;1009.3;1009.2;0.3;209;2.3;4.131;0.0
A305;17/03/2020;9;24.2;24.4;24.1;92;92;92;22.8;23.0;22.7;1009.9;1009.9;1009.3;0.9;187;2.5;7.648;0.2
A305;17/03/2020;10;24.8;24.8;24.1;92;92;92;23.3;23.3;22.8;1010.7;1010.7;1009.9;0.9;178;2.7;142.4;0.0
A305;17/03/2020;11;24.7;25.2;24.6;87;92;87;22.5;23.6;22.4;1011.2;1011.5;1010.7;0.1;46;3.8;193.2;0.0
A305;17/03/2020;12;26.9;26.9;24.7;80;88;79;23.1;23.1;22.1;1011.7;1011.7;1011.0;0.3;357;2.2;899.2;0.0
A305;17/03/2020;13;28.3;29.2;27.0;68;81;66;21.9;23.6;21.7;1011.6;1011.8;1011.6;2.0;349;4.6;1842.;0.0
A305;17/03/2020;14;30.1;30.1;28.2;63;71;62;22.3;23.2;21.4;1010.5;1011.6;1010.5;0.9;164;4.0;2588.;0.0
A305;17/03/2020;15;30.8;31.2;30.1;60;64;58;22.3;23.2;21.4;1009.6;1010.5;1009.6;0.3;106;3.3;2361.;0.0
A305;17/03/2020;16;29.8;31.1;29.7;68;69;59;23.1;24.0;22.0;1008.6;1009.6;1008.6;2.4;25;5.5;1632.;0.0
A305;17/03/2020;17;30.4;31.0;29.8;68;69;64;23.9;24.1;22.8;1007.8;1008.6;1007.8;1.6;52;5.3;1785.;0.0
A305;17/03/2020;18;31.3;31.5;30.4;62;69;60;23.0;23.9;22.5;1007.1;1007.8;1007.1;2.4;82;5.9;2017.;0.0
A305;17/03/2020;19;31.2;31.3;30.5;59;64;59;22.3;23.4;22.0;1006.9;1007.1;1006.9;2.3;81;6.0;1755.;0.0
A305;17/03/2020;20;29.3;31.2;29.3;67;68;59;22.5;23.0;21.9;1007.4;1007.4;1006.9;2.9;83;5.3;1000.;0.0
A305;17/03/2020;21;28.2;29.4;28.2;71;71;67;22.4;22.9;22.4;1008.1;1008.1;1007.4;2.0;83;5.2;155.5;0.0
A305;17/03/2020;22;27.3;28.4;27.2;77;77;70;22.9;22.9;22.4;1008.7;1008.7;1008.1;0.8;58;3.9;-0.29;0.0
A305;17/03/2020;23;27.0;27.4;26.9;79;80;77;23.2;23.2;22.9;1009.6;1009.6;1008.7;0.8;50;3.2;-0.40;0.0
A305;18/03/2020;0;26.1;27.0;26.0;84;84;79;23.2;23.3;23.0;1010.2;1010.2;1009.6;0.0;56;2.6;-0.68;0.0
A305;18/03/2020;1;25.8;26.2;25.8;86;86;85;23.4;23.4;23.2;1010.7;1010.7;1010.2;0.1;76;1.8;-0.41;0.0
A305;18/03/2020;2;25.4;25.8;25.4;88;88;86;23.3;23.4;23.3;1010.6;1010.9;1010.6;0.0;137;1.7;0.093;0.0
A305;18/03/2020;3;25.0;25.4;25.0;90;90;88;23.2;23.4;23.2;1010.0;1010.6;1010.0;0.2;155;1.1;0.549;0.0
A305;18/03/2020;4;25.1;25.1;25.0;91;91;90;23.4;23.5;23.2;1009.4;1010.0;1009.4;0.0;227;1.1;2.146;0.0
A305;18/03/2020;5;24.9;25.1;24.8;91;91;91;23.4;23.5;23.3;1008.8;1009.4;1008.8;0.0;200;0.3;3.900;0.0
A305;18/03/2020;6;24.8;25.0;24.7;92;92;91;23.4;23.6;23.2;1008.5;1008.8;1008.5;0.0;215;0.3;3.491;0.0
A305;18/03/2020;7;24.8;24.9;24.7;92;92;92;23.5;23.5;23.2;1008.5;1008.6;1008.4;0.1;225;0.7;8.604;0.0
A305;18/03/2020;8;25.2;25.2;24.6;92;92;92;23.8;23.8;23.2;1008.5;1008.6;1008.3;0.1;219;1.0;7.696;0.6
A305;18/03/2020;9;25.1;25.2;24.9;92;92;92;23.8;23.9;23.5;1008.9;1008.9;1008.5;0.8;117;3.6;14.47;1.2
A305;18/03/2020;10;26.0;26.1;25.1;91;92;91;24.5;24.7;23.8;1009.3;1009.3;1008.8;0.0;195;4.1;332.5;2.6
A305;18/03/2020;11;29.2;29.4;26.0;74;92;74;24.1;25.7;24.1;1010.0;1010.0;1009.3;0.6;174;2.2;1088.;0.0
A305;18/03/2020;12;30.3;30.8;29.0;70;75;69;24.3;25.0;23.7;1010.3;1010.4;1009.9;1.7;126;4.9;1582.;0.0
A305;18/03/2020;13;30.6;30.9;28.9;68;76;67;24.0;25.3;23.1;1010.5;1010.6;1010.3;1.8;112;6.5;1753.;0.0
A305;18/03/2020;14;31.4;32.0;30.5;65;69;62;24.0;24.8;23.2;1010.1;1010.5;1010.1;3.7;85;7.0;2834.;0.0
A305;18/03/2020;15;31.8;32.6;31.3;62;65;59;23.5;24.7;23.0;1009.3;1010.1;1009.3;3.3;88;7.4;3210.;0.0
A305;18/03/2020;16;32.0;32.3;31.5;60;62;55;23.2;23.9;22.1;1008.1;1009.3;1008.1;3.1;89;7.2;2869.;0.0
A305;18/03/2020;17;31.4;32.4;31.1;58;66;58;22.2;24.3;22.2;1007.2;1008.1;1007.2;3.1;88;7.8;2400.;0.0
A305;18/03/2020;18;31.0;31.7;30.9;62;65;57;22.8;23.9;21.8;1006.8;1007.2;1006.6;3.9;99;7.6;2092.;0.0
