codigo_estacao;data;hora;temp_inst;temp_max;temp_min;umid_inst;umid_max;umid_min;pto_orvalho_inst;pto_orvalho_max;pto_orvalho_min;pressao;pressao_max;pressao_min;vento_vel;vento_direcao; vento_rajada;radiacao;precipitacao
A301;2020/03/23;0;27.8;28.4;27.6;77;77;75;23.3;23.6;23.1;1012.5;1012.5;1011.8;;;;-3.54;0.0
A301;2020/03/23;1;26.6;27.8;26.6;82;82;77;23.3;23.4;23.1;1013.3;1013.3;1012.5;;;;-3.52;0.0
A301;2020/03/23;2;25.8;26.7;25.8;85;85;82;23.0;23.4;23.0;1012.7;1013.3;1012.7;;;;-3.50;0.0
A301;2020/03/23;3;25.2;25.8;25.2;87;87;85;23.0;23.3;23.0;1012.3;1012.7;1012.2;;;;-3.54;0.0
A301;2020/03/23;4;25.0;25.2;25.0;89;89;87;23.1;23.1;23.0;1011.6;1012.3;1011.6;;;;-3.54;0.0
A301;2020/03/23;5;24.8;25.0;24.8;90;90;89;23.1;23.1;22.9;1011.0;1011.6;1011.0;;;;-3.54;0.0
A301;2020/03/23;6;24.8;24.9;24.7;90;90;90;23.0;23.2;22.9;1010.6;1011.0;1010.5;;;;-3.54;0.0
A301;2020/03/23;7;24.3;24.8;24.3;90;91;90;22.7;23.0;22.6;1010.6;1010.6;1010.4;;;;-3.54;0.0
A301;2020/03/23;8;24.0;24.4;24.0;91;91;90;22.5;22.7;22.4;1011.2;1011.2;1010.6;;;;-3.54;0.0
A301;2020/03/23;9;24.3;24.3;23.9;92;92;91;22.8;22.8;22.3;1011.9;1011.9;1011.2;;;;59.06;0.0
A301;2020/03/23;10;27.4;27.4;24.3;88;92;88;25.2;25.2;22.8;1012.7;1012.8;1011.9;;;;598.8;0.0
A301;2020/03/23;11;30.3;30.3;27.4;71;88;71;24.4;26.0;24.4;1013.3;1013.3;1012.7;;;;1726.;0.0
A301;2020/03/23;12;31.8;32.0;30.0;61;71;60;23.2;24.4;22.6;1013.1;1013.3;1013.1;;;;2457.;0.0
A301;2020/03/23;13;31.9;32.6;30.7;57;62;54;22.2;23.9;22.0;1012.7;1013.2;1012.7;;;;2581.;0.0
A301;2020/03/23;14;34.3;34.3;31.3;52;61;49;23.0;23.5;21.5;1012.0;1012.7;1012.0;;;;3463.;0.0
A301;2020/03/23;15;33.6;34.6;33.3;52;53;47;22.3;22.8;21.0;1011.1;1012.0;1011.1;;;;2807.;0.0
A301;2020/03/23;16;32.9;34.4;32.5;57;59;51;23.3;24.1;22.6;1010.2;1011.1;1010.2;;;;2388.;0.0
A301;2020/03/23;17;33.7;34.3;32.9;56;59;54;23.7;24.2;22.7;1009.5;1010.2;1009.5;;;;2758.;0.0
A301;2020/03/23;18;31.6;34.0;31.4;60;60;53;23.0;23.7;22.2;1009.2;1009.5;1009.2;;;;1971.;0.0
A301;2020/03/23;19;30.3;32.6;30.1;66;66;58;23.2;23.6;22.4;1010.1;1010.1;1009.1;;;;691.6;0.0
A301;2020/03/23;20;29.5;30.3;29.0;70;71;66;23.5;23.5;22.8;1010.6;1010.8;1010.1;;;;153.1;0.0
A301;2020/03/23;21;27.1;29.5;27.1;73;73;67;21.8;23.4;21.6;1010.9;1011.0;1010.6;;;;9.334;0.0
A301;2020/03/23;22;26.6;27.2;26.6;76;76;73;22.0;22.1;21.7;1011.6;1011.6;1010.9;;;;-3.54;0.0
A301;2020/03/23;23;27.4;28.5;26.5;76;78;75;22.8;23.9;22.0;1012.6;1012.6;1011.6;;;;-3.54;0.0
A301;2020/03/24;0;25.7;27.4;25.7;83;83;76;22.5;22.7;22.5;1012.6;1012.9;1012.6;;;;-3.54;0.0
A301;2020/03/24;1;24.7;25.7;24.7;86;86;83;22.2;22.5;22.2;1012.5;1012.6;1012.4;;;;-3.54;0.0
A301;2020/03/24;2;24.4;24.7;24.4;88;88;86;22.3;22.4;22.2;1012.2;1012.5;1012.2;;;;-3.54;0.0
A301;2020/03/24;3;24.4;24.5;24.3;89;89;88;22.4;22.6;22.3;1011.8;1012.2;1011.8;;;;-3.54;0.0
A301;2020/03/24;4;24.1;24.5;24.1;89;89;89;22.3;22.6;22.3;1011.1;1011.9;1011.1;;;;-3.54;0.0
A301;2020/03/24;5;24.1;24.1;24.0;90;90;89;22.4;22.4;22.2;1010.6;1011.1;1010.6;;;;-3.54;0.0
A301;2020/03/24;6;24.3;24.4;24.1;90;90;90;22.6;22.7;22.4;1010.5;1010.6;1010.4;;;;-3.48;0.0
A301;2020/03/24;7;23.9;24.3;23.9;91;91;90;22.3;22.6;22.3;1010.5;1010.5;1010.3;;;;-3.54;0.0
A301;2020/03/24;8;23.9;24.0;23.8;91;91;91;22.4;22.5;22.2;1010.6;1010.7;1010.5;;;;-3.54;0.0
A301;2020/03/24;9;24.4;24.4;23.8;91;92;91;22.9;22.9;22.3;1011.3;1011.3;1010.6;;;;77.12;0.0
A301;2020/03/24;10;26.9;26.9;24.4;88;92;88;24.8;24.8;22.9;1011.7;1011.7;1011.3;;;;629.9;0.0
A301;2020/03/24;11;28.7;30.1;26.9;76;88;75;24.1;26.1;24.0;1012.2;1012.2;1011.7;;;;1794.;0.0
A301;2020/03/24;12;28.2;28.8;28.2;79;79;76;24.3;24.4;23.9;1012.3;1012.5;1012.2;;;;616.4;0.0
A301;2020/03/24;13;29.3;29.3;28.2;76;79;75;24.5;25.0;24.3;1012.2;1012.3;1012.1;;;;905.4;0.0
A301;2020/03/24;14;31.7;31.9;28.9;61;78;61;23.3;25.6;23.3;1011.2;1012.2;1011.2;;;;2687.;0.0
A301;2020/03/24;15;32.0;32.5;30.5;60;67;59;23.4;24.8;22.8;1010.1;1011.2;1010.1;;;;2895.;0.0
A301;2020/03/24;16;32.4;33.7;31.5;59;62;53;23.4;24.0;21.3;1008.9;1010.1;1008.9;;;;3243.;0.0
A301;2020/03/24;17;31.3;32.5;30.3;66;67;59;24.2;24.2;22.8;1008.6;1008.9;1008.6;;;;1159.;0.0
A301;2020/03/24;18;32.2;32.7;31.3;57;66;57;22.7;24.4;22.0;1008.2;1008.6;1008.1;;;;2602.;0.0
A301;2020/03/24;19;31.2;32.4;31.2;59;61;56;22.4;23.1;22.0;1008.4;1008.4;1008.0;;;;1756.;0.0
A301;2020/03/24;20;29.4;31.2;29.4;67;67;59;22.6;22.6;21.7;1008.5;1008.5;1008.3;;;;579.6;0.0
A301;2020/03/24;21;28.2;29.4;28.2;72;72;67;22.7;22.8;22.5;1009.1;1009.1;1008.5;;;;26.91;0.0
A301;2020/03/24;22;28.2;28.4;27.9;75;75;72;23.3;23.3;22.8;1009.8;1009.8;1009.1;;;;-3.54;0.0
A301;2020/03/24;23;27.9;28.3;27.7;74;76;73;22.8;23.3;22.8;1010.4;1010.4;1009.8;;;;-3.54;0.0
A301;2020/03/25;0;26.5;28.1;26.5;80;80;74;22.9;23.1;22.6;1011.0;1011.0;1010.4;;;;-3.54;0.0
A301;2020/03/25;1;26.1;26.6;26.1;83;83;80;23.1;23.2;22.9;1011.4;1011.4;1011.0;;;;-3.54;0.0
A301;2020/03/25;2;25.8;26.1;25.6;86;86;83;23.2;23.2;22.9;1011.1;1011.5;1011.1;;;;-3.51;0.0
A301;2020/03/25;3;25.2;25.8;25.2;87;87;86;22.9;23.3;22.9;1010.4;1011.2;1010.4;;;;-3.47;0.0
A301;2020/03/25;4;25.0;25.2;25.0;89;89;87;23.0;23.1;22.9;1009.7;1010.4;1009.6;;;;-3.54;0.0
A301;2020/03/25;5;25.4;25.4;24.8;90;90;89;23.6;23.6;22.8;1009.8;1009.9;1009.5;;;;-3.34;1.2
A301;2020/03/25;6;24.9;25.5;24.8;91;91;90;23.2;23.7;23.2;1009.2;1009.8;1009.2;;;;-3.03;0.2
A301;2020/03/25;7;24.7;25.2;24.7;91;91;91;23.2;23.6;23.2;1009.3;1009.4;1009.1;;;;-2.71;0.0
A301;2020/03/25;8;24.7;24.8;24.6;92;92;91;23.3;23.4;23.1;1009.7;1009.8;1009.1;;;;-3.38;0.0
A301;2020/03/25;9;25.3;25.4;24.7;92;92;92;23.8;24.0;23.3;1010.6;1010.6;1009.7;;;;147.5;0.0
A301;2020/03/25;10;27.3;27.5;25.3;88;92;88;25.1;25.7;23.9;1011.2;1011.2;1010.6;;;;1071.;0.0
A301;2020/03/25;11;28.3;29.1;27.2;77;88;77;23.9;25.7;23.9;1011.6;1011.6;1011.1;;;;1788.;0.0
A301;2020/03/25;12;30.7;30.7;28.2;65;79;65;23.3;24.7;22.7;1011.5;1011.7;1011.4;;;;2427.;0.0
A301;2020/03/25;13;31.2;31.9;29.9;59;65;59;22.2;23.7;22.2;1011.5;1011.8;1011.5;;;;3271.;0.0
A301;2020/03/25;14;31.3;32.0;30.2;60;66;57;22.5;23.8;22.1;1011.1;1011.6;1011.1;;;;2338.;0.0
A301;2020/03/25;15;31.9;32.1;30.5;60;63;58;23.3;23.8;21.8;1010.6;1011.1;1010.6;;;;3017.;0.0
A301;2020/03/25;16;32.0;32.1;30.7;62;65;59;23.7;24.0;22.3;1009.6;1010.6;1009.6;;;;3397.;0.0
A301;2020/03/25;17;30.7;32.2;30.1;62;66;59;22.7;24.5;22.3;1008.7;1009.7;1008.7;;;;1923.;0.0
A301;2020/03/25;18;30.6;31.5;30.6;59;65;58;21.8;23.8;21.7;1008.4;1008.7;1008.4;;;;2272.;0.0
A301;2020/03/25;19;29.7;31.6;29.7;64;64;58;22.2;22.8;22.0;1008.2;1008.5;1008.0;;;;1788.;0.0
A301;2020/03/25;20;28.4;29.7;28.4;71;71;64;22.5;22.7;22.2;1009.2;1009.2;1008.2;;;;312.4;0.0
A301;2020/03/25;21;27.1;28.4;27.1;78;78;70;22.9;22.9;22.4;1009.6;1009.7;1009.1;;;;17.57;0.0
A301;2020/03/25;22;26.6;27.8;26.6;81;81;77;23.0;23.4;22.9;1010.2;1010.2;1009.6;;;;-3.54;0.0
A301;2020/03/25;23;26.3;26.6;26.3;84;84;81;23.5;23.5;23.0;1011.0;1011.1;1010.2;;;;-3.54;0.0
A301;2020/03/26;0;26.1;26.4;26.1;86;86;84;23.5;23.7;23.5;1011.5;1011.5;1011.0;;;;-3.54;0.0
A301;2020/03/26;1;25.3;26.1;25.3;88;88;86;23.1;23.5;23.1;1011.3;1011.5;1011.2;;;;-3.54;0.0
A301;2020/03/26;2;24.9;25.3;24.9;89;89;88;23.0;23.1;23.0;1011.0;1011.3;1011.0;;;;-3.54;0.0
A301;2020/03/26;3;24.6;24.9;24.6;90;90;89;22.9;23.0;22.8;1010.4;1011.0;1010.4;;;;-3.54;0.0
A301;2020/03/26;4;24.6;24.7;24.4;91;91;90;23.0;23.1;22.7;1010.2;1010.4;1010.2;;;;-3.39;0.0
A301;2020/03/26;5;24.3;24.6;24.3;91;91;91;22.8;23.0;22.8;1009.7;1010.2;1009.7;;;;-3.54;0.0
A301;2020/03/26;6;23.9;24.3;23.9;92;92;91;22.4;22.8;22.4;1009.5;1009.7;1009.5;;;;-3.53;0.0
A301;2020/03/26;7;23.5;23.9;23.4;92;92;92;22.1;22.4;22.0;1009.4;1009.5;1009.3;;;;-3.54;0.0
A301;2020/03/26;8;23.2;23.5;23.2;92;92;92;21.8;22.1;21.8;1009.8;1009.8;1009.4;;;;-3.54;0.0
A301;2020/03/26;9;23.5;23.5;23.1;92;92;92;22.2;22.2;21.8;1010.6;1010.6;1009.8;;;;45.30;0.0
A301;2020/03/26;10;26.3;26.3;23.5;91;93;90;24.6;24.6;22.2;1011.0;1011.0;1010.6;;;;623.4;0.0
A301;2020/03/26;11;28.7;28.8;26.2;79;91;79;24.7;25.5;24.2;1011.4;1011.4;1011.0;;;;1698.;0.0
A301;2020/03/26;12;29.7;30.2;28.7;69;80;67;23.4;25.4;22.8;1011.5;1011.5;1011.3;;;;2192.;0.0
A301;2020/03/26;13;30.1;30.5;29.3;66;69;65;23.1;23.8;22.6;1011.1;1011.6;1011.1;;;;1461.;0.0
A301;2020/03/26;14;32.4;32.7;30.2;50;67;49;20.7;23.9;20.4;1010.3;1011.1;1010.3;;;;3001.;0.0
A301;2020/03/26;15;32.8;33.1;32.1;50;54;48;21.1;22.2;20.1;1009.4;1010.3;1009.4;;;;3777.;0.0
A301;2020/03/26;16;32.5;33.6;32.2;51;53;48;21.1;22.1;20.1;1008.5;1009.4;1008.5;;;;3534.;0.0
A301;2020/03/26;17;32.7;34.0;32.2;49;52;47;20.6;22.6;20.5;1008.0;1008.5;1008.0;;;;3272.;0.0
A301;2020/03/26;18;32.6;33.3;31.9;49;55;49;20.6;22.0;20.4;1007.9;1008.0;1007.8;;;;2792.;0.0
A301;2020/03/26;19;31.5;33.0;31.2;54;55;48;21.0;21.3;19.8;1007.8;1007.9;1007.7;;;;1928.;0.0
A301;2020/03/26;20;29.6;31.8;29.6;61;61;53;21.3;21.6;20.7;1008.2;1008.2;1007.8;;;;615.1;0.0
A301;2020/03/26;21;28.5;29.7;28.4;67;67;61;21.7;21.9;21.3;1008.1;1008.3;1008.0;;;;18.24;0.0
