codigo_estacao;data;hora;temp_inst;temp_max;temp_min;umid_inst;umid_max;umid_min;pto_orvalho_inst;pto_orvalho_max;pto_orvalho_min;pressao;pressao_max;pressao_min;vento_vel;vento_direcao; vento_rajada;radiacao;precipitacao
A618;2020/03/05;0;16.6;16.6;16.4;98;98;98;16.3;16.4;16.1;907.7;907.7;907.1;0.3;76;2.2;-0.51;0.0
A618;2020/03/05;1;16.5;16.6;16.4;98;98;98;16.2;16.4;16.2;907.9;908.0;907.7;0.0;53;2.0;-0.86;4.0
A618;2020/03/05;2;16.6;16.6;16.5;99;99;98;16.3;16.4;16.2;907.5;908.0;907.4;0.2;103;2.3;-0.87;2.4
A618;2020/03/05;3;16.5;16.6;16.4;99;99;99;16.3;16.3;16.2;907.5;907.6;907.4;0.0;116;2.3;-0.74;0.0
A618;2020/03/05;4;16.3;16.6;16.3;99;99;99;16.1;16.4;16.1;906.8;907.5;906.8;0.0;157;0.0;-0.40;0.0
A618;2020/03/05;5;16.2;16.4;16.1;99;99;99;16.0;16.2;15.9;906.3;906.9;906.3;0.0;165;0.0;-0.97;0.0
A618;2020/03/05;6;16.2;16.3;16.1;99;99;99;16.0;16.1;15.9;905.7;906.3;905.7;0.0;310;0.0;-1.58;0.0
A618;2020/03/05;7;16.3;16.3;16.1;99;99;99;16.0;16.1;15.9;905.9;906.0;905.6;0.0;221;0.0;-1.30;0.0
A618;2020/03/05;8;15.9;16.3;15.8;99;99;99;15.6;16.1;15.6;905.9;906.0;905.8;0.0;282;0.0;-1.82;0.0
A618;2020/03/05;9;15.7;16.0;15.7;99;99;99;15.5;15.8;15.5;906.5;906.5;905.9;0.0;290;0.0;4.758;0.0
A618;2020/03/05;10;16.2;16.2;15.5;99;99;99;16.0;16.0;15.3;907.3;907.3;906.5;0.0;300;0.0;160.1;0.0
A618;2020/03/05;11;18.2;18.3;16.1;98;99;98;17.9;18.1;15.9;907.7;907.7;907.3;0.2;51;1.9;837.7;0.0
A618;2020/03/05;12;18.8;19.3;17.6;91;98;90;17.3;18.6;16.8;908.1;908.1;907.7;0.6;61;3.9;1818.;0.0
A618;2020/03/05;13;16.6;19.1;16.6;97;97;88;16.2;17.6;16.1;908.2;908.3;908.1;0.3;50;3.0;662.3;0.0
A618;2020/03/05;14;17.6;17.6;16.6;94;98;94;16.6;17.0;16.2;908.2;908.3;908.2;0.1;316;3.8;482.5;0.0
A618;2020/03/05;15;17.1;17.6;17.1;96;96;94;16.5;16.8;16.4;908.0;908.2;908.0;0.5;38;3.0;429.9;0.0
A618;2020/03/05;16;17.6;18.0;17.1;94;96;94;16.7;17.3;16.4;907.6;908.0;907.6;0.4;358;2.6;682.4;0.0
A618;2020/03/05;17;17.9;18.1;17.4;94;95;92;16.9;17.2;16.4;907.2;907.6;907.2;0.6;50;2.6;481.3;0.0
A618;2020/03/05;18;17.2;18.0;17.2;96;96;93;16.5;17.1;16.5;906.8;907.2;906.8;0.4;76;2.9;133.1;0.0
A618;2020/03/05;19;17.3;17.3;17.1;96;97;96;16.7;16.8;16.5;906.8;906.9;906.7;0.2;28;4.5;109.4;0.2
A618;2020/03/05;20;17.2;17.4;17.1;96;97;95;16.5;16.8;16.4;907.1;907.1;906.8;0.1;314;3.2;90.35;0.0
A618;2020/03/05;21;16.6;17.2;16.6;97;97;96;16.1;16.5;16.1;907.4;907.4;907.0;0.5;8;4.6;21.91;0.0
A618;2020/03/05;22;16.5;16.6;16.4;97;97;97;16.0;16.2;16.0;907.8;907.8;907.4;0.6;18;3.5;-0.83;0.2
A618;2020/03/05;23;16.3;16.5;16.3;97;97;96;15.8;16.0;15.8;908.4;908.4;907.8;0.5;31;3.7;-0.61;0.0
A618;2020/03/06;0;15.8;16.4;15.8;97;97;96;15.3;16.0;15.3;908.7;908.8;908.4;0.3;12;3.4;-2.10;0.0
A618;2020/03/06;1;15.5;15.8;15.5;96;97;96;14.9;15.3;14.9;908.6;908.8;908.6;0.4;339;2.9;-3.52;0.0
A618;2020/03/06;2;14.5;15.5;14.5;97;97;96;14.0;14.9;14.0;908.2;908.7;908.2;0.0;200;2.9;-3.53;0.2
A618;2020/03/06;3;14.4;14.9;14.3;97;98;97;14.0;14.5;13.9;908.1;908.3;908.0;0.0;234;1.7;-3.51;0.0
A618;2020/03/06;4;13.9;14.4;13.8;98;98;97;13.5;14.0;13.4;907.5;908.1;907.4;0.0;251;0.0;-3.53;0.0
A618;2020/03/06;5;13.9;14.0;13.6;98;98;98;13.6;13.6;13.3;906.8;907.4;906.8;0.0;259;0.0;-2.70;0.0
A618;2020/03/06;6;13.3;13.9;13.2;98;98;98;13.0;13.5;12.9;906.5;906.9;906.4;0.0;238;0.0;-3.53;0.0
A618;2020/03/06;7;13.1;13.3;13.0;98;98;98;12.8;13.0;12.7;906.6;906.8;906.4;0.0;197;0.0;-3.53;0.0
A618;2020/03/06;8;13.8;13.8;13.0;98;98;98;13.5;13.5;12.7;906.6;906.7;906.3;0.0;221;0.0;-2.02;0.0
A618;2020/03/06;9;14.5;14.5;13.8;98;98;98;14.3;14.3;13.5;906.7;906.9;906.6;0.0;214;0.0;2.136;0.0
A618;2020/03/06;10;15.4;15.4;14.5;98;98;98;15.1;15.1;14.2;907.6;907.6;906.6;0.0;36;2.0;69.12;0.0
A618;2020/03/06;11;15.8;15.8;15.3;98;98;98;15.4;15.5;15.0;907.8;908.0;907.5;0.8;13;3.3;225.9;0.0
A618;2020/03/06;12;16.2;16.4;15.8;95;98;95;15.4;15.7;15.3;908.4;908.5;907.8;0.4;18;3.3;351.9;0.0
A618;2020/03/06;13;17.1;17.3;16.2;93;95;92;15.9;16.3;15.2;908.4;908.5;908.4;0.6;113;3.8;581.2;0.0
A618;2020/03/06;14;17.0;17.7;16.9;92;93;89;15.7;16.4;15.6;908.4;908.5;908.3;0.4;40;3.8;547.4;0.0
A618;2020/03/06;15;17.9;17.9;16.9;92;94;91;16.6;16.8;15.7;908.0;908.5;908.0;0.9;38;3.1;611.3;0.0
A618;2020/03/06;16;18.0;18.3;17.7;91;92;87;16.6;16.9;15.7;907.5;908.0;907.5;0.6;14;3.9;811.0;0.0
A618;2020/03/06;17;17.7;18.3;17.7;90;92;87;16.0;16.8;15.9;907.3;907.5;907.3;1.0;84;3.3;538.3;0.0
A618;2020/03/06;18;17.4;17.7;17.4;93;93;90;16.2;16.4;15.9;906.9;907.4;906.9;0.4;63;3.3;215.1;0.0
A618;2020/03/06;19;17.1;17.4;17.1;94;95;92;16.2;16.4;16.0;906.5;906.9;906.5;1.0;43;4.0;190.6;0.0
A618;2020/03/06;20;16.9;17.2;16.8;95;96;94;16.2;16.3;16.1;906.6;906.7;906.3;0.6;222;4.0;37.37;2.2
A618;2020/03/06;21;15.9;16.9;15.8;96;97;95;15.2;16.2;15.1;907.0;907.0;906.6;0.5;339;3.1;18.93;2.8
A618;2020/03/06;22;15.4;15.9;15.2;97;97;95;14.9;15.1;14.6;907.2;907.2;907.0;0.0;113;3.4;-0.66;0.0
A618;2020/03/06;23;15.8;15.8;15.3;97;97;96;15.3;15.4;14.8;907.4;907.4;907.1;0.2;47;2.1;-1.77;0.0
A618;2020/03/07;0;15.0;15.8;15.0;96;97;96;14.5;15.4;14.5;907.9;907.9;907.5;0.0;212;1.7;-2.31;0.0
A618;2020/03/07;1;15.2;15.3;14.3;86;97;83;12.9;14.4;12.2;907.7;907.9;907.6;0.5;194;2.6;-3.23;0.0
A618;2020/03/07;2;14.1;15.2;14.0;97;97;87;13.5;13.5;12.7;907.4;907.8;907.4;0.0;223;2.3;-3.29;0.0
A618;2020/03/07;3;14.0;14.1;13.8;97;97;96;13.6;13.6;13.3;907.2;907.5;907.1;0.0;247;0.0;-3.18;0.0
A618;2020/03/07;4;13.8;14.1;13.8;98;98;97;13.5;13.8;13.4;906.6;907.2;906.5;0.0;260;0.0;-2.55;0.0
A618;2020/03/07;5;13.9;14.1;13.8;98;98;98;13.5;13.7;13.4;905.9;906.7;905.9;0.0;243;0.0;-2.58;0.0
A618;2020/03/07;6;13.9;13.9;13.8;98;98;98;13.6;13.6;13.5;905.3;906.0;905.2;0.0;248;0.0;-3.13;0.0
A618;2020/03/07;7;13.4;14.0;13.4;98;98;98;13.1;13.6;13.1;905.3;905.3;905.0;0.0;251;0.0;-3.46;0.0
A618;2020/03/07;8;13.7;14.1;13.0;98;98;98;13.4;13.9;12.6;905.5;905.6;905.3;0.0;235;2.2;-2.77;0.0
A618;2020/03/07;9;12.7;13.7;12.4;98;98;97;12.3;13.4;11.9;905.9;905.9;905.5;0.0;239;1.2;5.310;0.0
A618;2020/03/07;10;14.5;14.5;12.7;98;98;98;14.2;14.2;12.3;906.6;906.6;905.9;0.0;253;0.2;230.7;0.0
A618;2020/03/07;11;17.4;17.5;14.5;83;98;78;14.4;15.3;13.7;907.2;907.2;906.6;1.0;63;2.7;790.2;0.0
A618;2020/03/07;12;18.4;18.8;17.2;80;85;73;14.9;14.9;12.8;907.6;907.6;907.1;1.2;67;4.1;1558.;0.0
A618;2020/03/07;13;19.2;19.8;18.3;73;82;70;14.3;16.3;13.6;907.6;907.8;907.6;1.7;62;4.0;2930.;0.0
A618;2020/03/07;14;20.6;21.0;19.0;74;82;71;15.7;17.3;14.2;907.2;907.6;907.2;1.5;73;4.1;2992.;0.0
A618;2020/03/07;15;19.8;21.5;19.5;78;81;72;15.9;17.5;14.9;906.7;907.2;906.7;0.6;171;4.4;2160.;0.2
A618;2020/03/07;16;19.1;21.1;19.1;82;83;75;15.9;17.4;15.5;906.1;906.7;906.1;1.0;43;3.8;1938.;0.0
A618;2020/03/07;17;19.3;20.7;19.0;82;85;77;16.1;17.2;15.6;905.7;906.1;905.7;1.1;64;3.4;1418.;0.0
A618;2020/03/07;18;19.4;20.4;19.0;81;84;79;16.1;17.0;15.7;905.3;905.7;905.3;0.4;58;4.3;1089.;0.0
A618;2020/03/07;19;18.8;19.4;18.8;84;87;80;16.0;16.6;15.6;905.1;905.3;905.1;0.0;79;3.5;429.9;0.0
A618;2020/03/07;20;17.8;18.9;17.8;93;93;83;16.7;16.7;15.9;905.4;905.4;905.1;0.0;35;0.0;131.0;0.0
A618;2020/03/07;21;16.7;17.8;16.7;94;94;93;15.8;16.7;15.7;905.9;905.9;905.4;0.0;4;3.4;3.143;0.0
A618;2020/03/07;22;16.3;16.7;16.3;96;96;94;15.6;15.8;15.5;906.1;906.1;905.9;0.1;63;2.0;-2.48;0.0
A618;2020/03/07;23;16.1;16.4;16.1;97;97;96;15.6;15.9;15.5;906.8;906.8;906.1;0.0;24;2.3;-2.02;0.0
A618;2020/03/08;0;16.1;16.4;16.1;97;97;97;15.6;15.9;15.5;907.5;907.5;906.8;0.0;279;2.1;-2.35;0.6
A618;2020/03/08;1;16.3;16.5;16.0;96;97;96;15.7;15.9;15.3;907.5;907.5;907.4;0.0;55;0.0;-2.45;0.6
A618;2020/03/08;2;16.0;16.3;16.0;97;97;96;15.5;15.8;15.4;907.2;907.5;907.2;0.0;277;0.0;-1.82;0.0
A618;2020/03/08;3;15.5;16.0;15.4;97;97;97;15.1;15.5;15.0;907.0;907.2;907.0;0.0;245;0.0;-3.10;0.0
A618;2020/03/08;4;15.2;15.5;15.1;98;98;97;14.8;15.0;14.7;906.7;907.0;906.6;0.0;258;0.0;-2.26;0.0
A618;2020/03/08;5;14.4;15.2;14.4;98;98;98;14.1;14.8;14.1;906.1;906.7;906.1;0.0;258;0.0;-3.44;0.0
A618;2020/03/08;6;14.0;14.5;13.9;98;98;98;13.7;14.2;13.5;905.7;906.1;905.7;0.0;255;0.0;-3.53;0.0
A618;2020/03/08;7;13.8;14.1;13.8;98;98;98;13.5;13.8;13.5;906.0;906.0;905.7;0.0;248;0.0;-3.49;0.0
A618;2020/03/08;8;13.6;13.9;13.6;98;98;98;13.3;13.6;13.3;906.1;906.1;905.9;0.0;258;0.0;-3.52;0.0
A618;2020/03/08;9;13.3;13.6;13.3;98;98;98;13.1;13.3;13.1;906.5;906.5;906.0;0.0;251;0.0;5.088;0.0
A618;2020/03/08;10;15.5;15.5;13.3;99;99;98;15.3;15.3;13.0;907.2;907.3;906.5;0.0;232;0.0;171.9;0.0
A618;2020/03/08;11;17.8;17.8;15.5;89;99;88;16.1;16.5;15.5;908.1;908.1;907.2;0.1;353;2.0;979.8;0.2
A618;2020/03/08;12;20.0;20.0;17.7;81;90;78;16.6;17.1;15.6;908.1;908.1;908.0;0.5;91;2.9;1845.;0.0
