"date","state","confirmed","deaths"
2020-01-22,"Alabama",0,0
2020-01-23,"Alabama",0,0
2020-01-24,"Alabama",0,0
2020-01-25,"Alabama",0,0
2020-01-26,"Alabama",0,0
2020-01-27,"Alabama",0,0
2020-01-28,"Alabama",0,0
2020-01-29,"Alabama",0,0
2020-01-30,"Alabama",0,0
2020-01-31,"Alabama",0,0
2020-02-01,"Alabama",0,0
2020-02-02,"Alabama",0,0
2020-02-03,"Alabama",0,0
2020-02-04,"Alabama",0,0
2020-02-05,"Alabama",0,0
2020-02-06,"Alabama",0,0
2020-02-07,"Alabama",0,0
2020-02-08,"Alabama",0,0
2020-02-09,"Alabama",0,0
2020-02-10,"Alabama",0,0
2020-02-11,"Alabama",0,0
2020-02-12,"Alabama",0,0
2020-02-13,"Alabama",0,0
2020-02-14,"Alabama",0,0
2020-02-15,"Alabama",0,0
2020-02-16,"Alabama",0,0
2020-02-17,"Alabama",0,0
2020-02-18,"Alabama",0,0
2020-02-19,"Alabama",0,0
2020-02-20,"Alabama",0,0
2020-02-21,"Alabama",0,0
2020-02-22,"Alabama",0,0
2020-02-23,"Alabama",0,0
2020-02-24,"Alabama",0,0
2020-02-25,"Alabama",0,0
2020-02-26,"Alabama",0,0
2020-02-27,"Alabama",0,0
2020-02-28,"Alabama",0,0
2020-02-29,"Alabama",0,0
2020-03-01,"Alabama",0,0
2020-03-02,"Alabama",0,0
2020-03-03,"Alabama",0,0
2020-03-04,"Alabama",0,0
2020-03-05,"Alabama",0,0
2020-03-06,"Alabama",0,0
2020-03-07,"Alabama",0,0
2020-03-08,"Alabama",0,0
2020-03-09,"Alabama",0,0
2020-03-10,"Alabama",0,0
2020-03-11,"Alabama",0,0
2020-03-12,"Alabama",0,0
2020-03-13,"Alabama",5,0
2020-03-14,"Alabama",7,0
2020-03-15,"Alabama",11,0
2020-03-16,"Alabama",29,0
2020-03-17,"Alabama",39,0
2020-03-18,"Alabama",51,0
2020-03-19,"Alabama",78,0
2020-03-20,"Alabama",106,0
2020-03-21,"Alabama",131,0
2020-03-22,"Alabama",157,0
2020-03-23,"Alabama",196,0
2020-03-24,"Alabama",242,0
2020-03-25,"Alabama",381,1
2020-03-26,"Alabama",517,1
2020-03-27,"Alabama",587,4
2020-03-28,"Alabama",694,4
2020-03-29,"Alabama",825,10
2020-03-30,"Alabama",899,10
2020-03-31,"Alabama",987,23
2020-04-01,"Alabama",1060,27
2020-04-02,"Alabama",1233,32
2020-04-03,"Alabama",1495,38
2020-04-04,"Alabama",1614,44
2020-04-05,"Alabama",1765,45
2020-04-06,"Alabama",1952,49
2020-04-07,"Alabama",2169,64
2020-04-08,"Alabama",2328,66
2020-04-09,"Alabama",2703,70
2020-04-10,"Alabama",2947,80
2020-04-11,"Alabama",3217,92
2020-04-12,"Alabama",3563,93
2020-04-13,"Alabama",3734,99
2020-04-14,"Alabama",3953,114
2020-04-15,"Alabama",4075,118
2020-04-16,"Alabama",4345,133
2020-04-17,"Alabama",4571,148
2020-04-18,"Alabama",4712,153
2020-04-19,"Alabama",4888,157
2020-04-20,"Alabama",5079,163
2020-04-21,"Alabama",5317,183
2020-04-22,"Alabama",5593,196
2020-04-23,"Alabama",5832,202
2020-04-24,"Alabama",6026,209
2020-04-25,"Alabama",6026,209
2020-04-26,"Alabama",6421,219
2020-04-27,"Alabama",6539,228
2020-04-28,"Alabama",6750,242
2020-01-22,"Alaska",0,0
2020-01-23,"Alaska",0,0
2020-01-24,"Alaska",0,0
2020-01-25,"Alaska",0,0
2020-01-26,"Alaska",0,0
2020-01-27,"Alaska",0,0
2020-01-28,"Alaska",0,0
2020-01-29,"Alaska",0,0
2020-01-30,"Alaska",0,0
2020-01-31,"Alaska",0,0
2020-02-01,"Alaska",0,0
2020-02-02,"Alaska",0,0
2020-02-03,"Alaska",0,0
2020-02-04,"Alaska",0,0
2020-02-05,"Alaska",0,0
2020-02-06,"Alaska",0,0
2020-02-07,"Alaska",0,0
2020-02-08,"Alaska",0,0
2020-02-09,"Alaska",0,0
2020-02-10,"Alaska",0,0
2020-02-11,"Alaska",0,0
2020-02-12,"Alaska",0,0
2020-02-13,"Alaska",0,0
2020-02-14,"Alaska",0,0
2020-02-15,"Alaska",0,0
2020-02-16,"Alaska",0,0
2020-02-17,"Alaska",0,0
2020-02-18,"Alaska",0,0
2020-02-19,"Alaska",0,0
2020-02-20,"Alaska",0,0
2020-02-21,"Alaska",0,0
2020-02-22,"Alaska",0,0
2020-02-23,"Alaska",0,0
2020-02-24,"Alaska",0,0
2020-02-25,"Alaska",0,0
2020-02-26,"Alaska",0,0
2020-02-27,"Alaska",0,0
2020-02-28,"Alaska",0,0
2020-02-29,"Alaska",0,0
2020-03-01,"Alaska",0,0
2020-03-02,"Alaska",0,0
2020-03-03,"Alaska",0,0
2020-03-04,"Alaska",0,0
2020-03-05,"Alaska",0,0
2020-03-06,"Alaska",0,0
2020-03-07,"Alaska",0,0
2020-03-08,"Alaska",0,0
2020-03-09,"Alaska",0,0
2020-03-10,"Alaska",0,0
2020-03-11,"Alaska",0,0
2020-03-12,"Alaska",0,0
2020-03-13,"Alaska",1,0
2020-03-14,"Alaska",1,0
2020-03-15,"Alaska",1,0
2020-03-16,"Alaska",1,0
2020-03-17,"Alaska",3,0
2020-03-18,"Alaska",5,0
2020-03-19,"Alaska",8,0
2020-03-20,"Alaska",11,0
2020-03-21,"Alaska",13,0
2020-03-22,"Alaska",18,0
2020-03-23,"Alaska",30,0
2020-03-24,"Alaska",34,0
2020-03-25,"Alaska",41,1
2020-03-26,"Alaska",56,1
2020-03-27,"Alaska",58,1
2020-03-28,"Alaska",85,2
2020-03-29,"Alaska",102,2
2020-03-30,"Alaska",114,3
2020-03-31,"Alaska",119,3
2020-04-01,"Alaska",132,3
2020-04-02,"Alaska",143,3
2020-04-03,"Alaska",157,3
2020-04-04,"Alaska",171,5
2020-04-05,"Alaska",185,6
2020-04-06,"Alaska",190,6
2020-04-07,"Alaska",213,6
2020-04-08,"Alaska",226,7
2020-04-09,"Alaska",235,7
2020-04-10,"Alaska",246,7
2020-04-11,"Alaska",257,8
2020-04-12,"Alaska",272,8
2020-04-13,"Alaska",277,8
2020-04-14,"Alaska",285,9
2020-04-15,"Alaska",293,9
2020-04-16,"Alaska",300,9
2020-04-17,"Alaska",309,9
2020-04-18,"Alaska",314,9
2020-04-19,"Alaska",319,9
2020-04-20,"Alaska",321,9
2020-04-21,"Alaska",329,9
2020-04-22,"Alaska",335,9
2020-04-23,"Alaska",337,9
2020-04-24,"Alaska",339,9
2020-04-25,"Alaska",339,9
2020-04-26,"Alaska",340,9
2020-04-27,"Alaska",345,9
2020-04-28,"Alaska",351,9
2020-01-22,"American Samoa",0,0
2020-01-23,"American Samoa",0,0
2020-01-24,"American Samoa",0,0
2020-01-25,"American Samoa",0,0
2020-01-26,"American Samoa",0,0
2020-01-27,"American Samoa",0,0
2020-01-28,"American Samoa",0,0
2020-01-29,"American Samoa",0,0
2020-01-30,"American Samoa",0,0
2020-01-31,"American Samoa",0,0
2020-02-01,"American Samoa",0,0
2020-02-02,"American Samoa",0,0
2020-02-03,"American Samoa",0,0
2020-02-04,"American Samoa",0,0
2020-02-05,"American Samoa",0,0
2020-02-06,"American Samoa",0,0
2020-02-07,"American Samoa",0,0
2020-02-08,"American Samoa",0,0
2020-02-09,"American Samoa",0,0
2020-02-10,"American Samoa",0,0
2020-02-11,"American Samoa",0,0
2020-02-12,"American Samoa",0,0
2020-02-13,"American Samoa",0,0
2020-02-14,"American Samoa",0,0
2020-02-15,"American Samoa",0,0
2020-02-16,"American Samoa",0,0
2020-02-17,"American Samoa",0,0
2020-02-18,"American Samoa",0,0
2020-02-19,"American Samoa",0,0
2020-02-20,"American Samoa",0,0
2020-02-21,"American Samoa",0,0
2020-02-22,"American Samoa",0,0
2020-02-23,"American Samoa",0,0
2020-02-24,"American Samoa",0,0
2020-02-25,"American Samoa",0,0
2020-02-26,"American Samoa",0,0
2020-02-27,"American Samoa",0,0
2020-02-28,"American Samoa",0,0
2020-02-29,"American Samoa",0,0
2020-03-01,"American Samoa",0,0
2020-03-02,"American Samoa",0,0
2020-03-03,"American Samoa",0,0
2020-03-04,"American Samoa",0,0
2020-03-05,"American Samoa",0,0
2020-03-06,"American Samoa",0,0
2020-03-07,"American Samoa",0,0
2020-03-08,"American Samoa",0,0
2020-03-09,"American Samoa",0,0
2020-03-10,"American Samoa",0,0
2020-03-11,"American Samoa",0,0
2020-03-12,"American Samoa",0,0
2020-03-13,"American Samoa",0,0
2020-03-14,"American Samoa",0,0
2020-03-15,"American Samoa",0,0
2020-03-16,"American Samoa",0,0
2020-03-17,"American Samoa",0,0
2020-03-18,"American Samoa",0,0
2020-03-19,"American Samoa",0,0
2020-03-20,"American Samoa",0,0
2020-03-21,"American Samoa",0,0
2020-03-22,"American Samoa",0,0
2020-03-23,"American Samoa",0,0
2020-03-24,"American Samoa",0,0
2020-03-25,"American Samoa",0,0
2020-03-26,"American Samoa",0,0
2020-03-27,"American Samoa",0,0
2020-03-28,"American Samoa",0,0
2020-03-29,"American Samoa",0,0
2020-03-30,"American Samoa",0,0
2020-03-31,"American Samoa",0,0
2020-04-01,"American Samoa",0,0
2020-04-02,"American Samoa",0,0
2020-04-03,"American Samoa",0,0
2020-04-04,"American Samoa",0,0
2020-04-05,"American Samoa",0,0
2020-04-06,"American Samoa",0,0
2020-04-07,"American Samoa",0,0
2020-04-08,"American Samoa",0,0
2020-04-09,"American Samoa",0,0
2020-04-10,"American Samoa",0,0
2020-04-11,"American Samoa",0,0
2020-04-12,"American Samoa",0,0
2020-04-13,"American Samoa",0,0
2020-04-14,"American Samoa",0,0
2020-04-15,"American Samoa",0,0
2020-04-16,"American Samoa",0,0
2020-04-17,"American Samoa",0,0
2020-04-18,"American Samoa",0,0
2020-04-19,"American Samoa",0,0
2020-04-20,"American Samoa",0,0
2020-04-21,"American Samoa",0,0
2020-04-22,"American Samoa",0,0
2020-04-23,"American Samoa",0,0
2020-04-24,"American Samoa",0,0
2020-04-25,"American Samoa",0,0
2020-04-26,"American Samoa",0,0
2020-04-27,"American Samoa",0,0
2020-04-28,"American Samoa",0,0
2020-01-22,"Arizona",0,0
2020-01-23,"Arizona",0,0
2020-01-24,"Arizona",0,0
2020-01-25,"Arizona",0,0
2020-01-26,"Arizona",1,0
2020-01-27,"Arizona",1,0
2020-01-28,"Arizona",1,0
2020-01-29,"Arizona",1,0
