"date","state","confirmed","deaths","prec","tmax","tmin"
2020-01-22,"California",0,0,49.67301,13.882143,4.673214
2020-01-23,"California",0,0,1.386694,16.006,3.822
2020-01-24,"California",0,0,18.96275,16.807843,4.57451
2020-01-25,"California",0,0,15.28543,17.18,5.312245
2020-01-26,"California",2,0,103.44634,16.672727,6.281481
2020-01-27,"California",2,0,14.30469,17.025926,4.612963
2020-01-28,"California",2,0,21.75828,17.275472,4.388462
2020-01-29,"California",2,0,6.181287,16.9653846,2.9576923
2020-01-30,"California",2,0,7.48847,17.035417,4.093617
2020-01-31,"California",3,0,0.4514039,19.302,3.846
2020-02-01,"California",3,0,0.6581197,21.50222222,3.86136364
2020-02-02,"California",3,0,3.383795,19.6116279,3.6904762
2020-02-03,"California",6,0,6.054656,14.4122449,0.5
2020-02-04,"California",6,0,0.06971678,10.604878049,-1.756097561
2020-02-05,"California",6,0,0.1866953,12.0375,-1.515
2020-02-06,"California",6,0,0.1070664,15.1575,0.5425
2020-02-07,"California",6,0,0.1209503,18.11777778,0.68444444
2020-02-08,"California",6,0,1.060215,19.0108696,1.9222222
2020-02-09,"California",6,0,1.027368,16.2477273,3.0295455
2020-02-10,"California",6,0,19.65868,16.53125,3.293878
2020-02-11,"California",7,0,4.230769,18.3978723,2.7191489
2020-02-12,"California",7,0,0.05010893,18.490697674,1.295348837
2020-02-13,"California",8,0,0.09170306,17.393023256,0.953488372
2020-02-14,"California",8,0,0.02614379,17.965909091,1.562790698
2020-02-15,"California",8,0,0.04585153,18.711363636,2.079545455
2020-02-16,"California",8,0,5.358974,19.0638298,3.5652174
2020-02-17,"California",8,0,4.488121,20.0125,3.96875
2020-02-18,"California",8,0,0.05446623,18.768181818,3.059090909
2020-02-19,"California",8,0,0.05482456,18.081395349,2.323255814
2020-02-20,"California",8,0,0.0371179,19.56046512,2.84883721
2020-02-21,"California",10,0,0.01969365,20.402272727,4.427906977
2020-02-22,"California",10,0,4.672032,19.6294118,6.396
2020-02-23,"California",10,0,21.47379,17.653061,5.327083
2020-02-24,"California",10,0,0.9725159,19.05652174,3.01304348
2020-02-25,"California",10,0,0.04130435,21.486363636,4.095348837
2020-02-26,"California",10,0,0.02173913,22.019047619,4.069047619
2020-02-27,"California",11,0,0.01758242,22.527272727,4.529545455
2020-02-28,"California",11,0,0.09190372,23.684444444,5.8
2020-02-29,"California",12,0,0.5327511,21.69782609,5.7
2020-03-01,"California",12,0,3.310417,18.9114754,6.16
2020-03-02,"California",21,0,9.268714,16.9810345,3.062069
2020-03-03,"California",25,0,0.6940928,20.46666667,3.62727273
2020-03-04,"California",35,1,0.03205128,22.703636364,5.062962963
2020-03-05,"California",51,1,0.05639913,23.117857143,5.855357143
2020-03-06,"California",59,1,0.7854077,21.97758621,6.4877193
2020-03-07,"California",81,1,16.82018,19.862121,6.812308
2020-03-08,"California",95,1,28.91141,15.927778,4.577465
2020-03-09,"California",101,1,4.641548,18.2184615,5.4569231
2020-03-10,"California",144,2,46.74618,18.876667,6.866667
2020-03-11,"California",178,4,39.74047,19.393846,6.941538
