date;state;confirmed;tmax;tmin;prec
22/01/2020;California;0;13,882143;4,673214;49,67301
23/01/2020;California;0;16,006;3,822;1,386694
24/01/2020;California;0;16,807843;4,57451;18,96275
25/01/2020;California;0;17,18;5,312245;15,28543
26/01/2020;California;2;16,672727;6,281481;103,44634
27/01/2020;California;2;17,025926;4,612963;14,30469
28/01/2020;California;2;17,275472;4,388462;21,75828
29/01/2020;California;2;16,9653846;2,9576923;6,181287
30/01/2020;California;2;17,035417;4,093617;7,48847
31/01/2020;California;3;19,302;3,846;0,4514039
01/02/2020;California;3;21,50222222;3,86136364;0,6581197
02/02/2020;California;3;19,6116279;3,6904762;3,383795
03/02/2020;California;6;14,4122449;0,5;6,054656
04/02/2020;California;6;10,60487805;-1,756097561;0,06971678
05/02/2020;California;6;12,0375;-1,515;0,1866953
06/02/2020;California;6;15,1575;0,5425;0,1070664
07/02/2020;California;6;18,11777778;0,68444444;0,1209503
08/02/2020;California;6;19,0108696;1,9222222;1,060215
09/02/2020;California;6;16,2477273;3,0295455;1,027368
10/02/2020;California;6;16,53125;3,293878;19,65868
11/02/2020;California;7;18,3978723;2,7191489;4,230769
12/02/2020;California;7;18,49069767;1,295348837;0,05010893
13/02/2020;California;8;17,39302326;0,953488372;0,09170306
14/02/2020;California;8;17,96590909;1,562790698;0,02614379
15/02/2020;California;8;18,71136364;2,079545455;0,04585153
16/02/2020;California;8;19,0638298;3,5652174;5,358974
17/02/2020;California;8;20,0125;3,96875;4,488121
18/02/2020;California;8;18,76818182;3,059090909;0,05446623
19/02/2020;California;8;18,08139535;2,323255814;0,05482456
20/02/2020;California;8;19,56046512;2,84883721;0,0371179
21/02/2020;California;10;20,40227273;4,427906977;0,01969365
22/02/2020;California;10;19,6294118;6,396;4,672032
23/02/2020;California;10;17,653061;5,327083;21,47379
24/02/2020;California;10;19,05652174;3,01304348;0,9725159
25/02/2020;California;10;21,48636364;4,095348837;0,04130435
26/02/2020;California;10;22,01904762;4,069047619;0,02173913
27/02/2020;California;11;22,52727273;4,529545455;0,01758242
28/02/2020;California;11;23,68444444;5,8;0,09190372
29/02/2020;California;12;21,69782609;5,7;0,5327511
01/03/2020;California;12;18,9114754;6,16;3,310417
02/03/2020;California;21;16,9810345;3,062069;9,268714
03/03/2020;California;25;20,46666667;3,62727273;0,6940928
04/03/2020;California;35;22,70363636;5,062962963;0,03205128
05/03/2020;California;51;23,11785714;5,855357143;0,05639913
06/03/2020;California;59;21,97758621;6,4877193;0,7854077
07/03/2020;California;81;19,862121;6,812308;16,82018
08/03/2020;California;95;15,927778;4,577465;28,91141
09/03/2020;California;101;18,2184615;5,4569231;4,641548
10/03/2020;California;144;18,876667;6,866667;46,74618
11/03/2020;California;178;19,393846;6,941538;39,74047
12/03/2020;California;221;20,558462;7,187302;17,50696
13/03/2020;California;281;18,883582;6,395455;120,73462
14/03/2020;California;372;17,042254;7,373239;37,08919
15/03/2020;California;373;15,65385;6,41875;124,5371
16/03/2020;California;557;13,958333;4,99661;99,17065
17/03/2020;California;700;12,338235;2,028986;98,94702
18/03/2020;California;828;12,456944;2,184286;33,9471
19/03/2020;California;1005;12,725;2,571053;31,53054
20/03/2020;California;1243;14,692647;2,622388;18,42214
21/03/2020;California;1405;16,5982456;4,8910714;5,106212
22/03/2020;California;1646;18,2661017;5,025;4,154158
23/03/2020;California;2108;17,545161;6,080645;78,65398
24/03/2020;California;2538;16,306061;5,804545;25,14991
25/03/2020;California;2998;14,551471;4,207463;45,10943
26/03/2020;California;3899;13,573611;1,327778;21,39405
27/03/2020;California;4657;13,859677;1,922581;12,72505
28/03/2020;California;5095;14,2014925;2,8818182;6,493433
29/03/2020;California;5852;15,230882;5,054545;27,28055
30/03/2020;California;7138;17,224615;4,901538;12,93911
31/03/2020;California;8210;19,724194;6,455738;22,03175
01/04/2020;California;9399;19,7109091;5,6127273;5,302469
02/04/2020;California;10773;18,74615385;3,34705882;0,1361702
03/04/2020;California;12004;18,09464286;3,039285714;0,09565217
04/04/2020;California;12837;18,005357;4,725;10,62702
05/04/2020;California;15034;16,098413;6,693548;162,6661
