"n","Country","State","Model","Error"
1,"BRA","AM","KNN",-70
2,"BRA","AM","KNN",-120
3,"BRA","AM","KNN",-175
4,"BRA","AM","KNN",-194
5,"BRA","AM","KNN",-174
6,"BRA","AM","KNN",-268
7,"BRA","AM","KNN",-88
8,"BRA","AM","KNN",-136
9,"BRA","AM","KNN",-222
10,"BRA","AM","KNN",-178
11,"BRA","AM","KNN",-140
12,"BRA","AM","KNN",-119
13,"BRA","AM","KNN",-105
14,"BRA","AM","KNN",-51
15,"BRA","AM","KNN",-149
16,"BRA","AM","KNN",-26
17,"BRA","AM","KNN",53
18,"BRA","AM","KNN",121
19,"BRA","AM","KNN",36
20,"BRA","AM","KNN",68
21,"BRA","AM","KNN",134
22,"BRA","AM","KNN",240
23,"BRA","AM","KNN",384
24,"BRA","AM","KNN",382
25,"BRA","AM","KNN",467
26,"BRA","AM","KNN",433
27,"BRA","AM","KNN",686
28,"BRA","AM","KNN",827
29,"BRA","AM","KNN",1084
30,"BRA","AM","KNN",1176
31,"BRA","AM","KNN",81
32,"BRA","AM","KNN",-14
33,"BRA","AM","KNN",26
34,"BRA","AM","KNN",4
35,"BRA","AM","KNN",92
36,"BRA","AM","KNN",169
37,"BRA","AM","KNN",100
38,"BRA","AM","KNN",100
39,"BRA","AM","KNN",379
40,"BRA","AM","KNN",718
41,"BRA","AM","KNN",1024
42,"BRA","AM","KNN",1535
43,"BRA","AM","KNN",2569
44,"BRA","AM","KNN",2036
45,"BRA","AM","KNN",2731
1,"BRA","AM","SVR",-79
2,"BRA","AM","SVR",-124
3,"BRA","AM","SVR",-189
4,"BRA","AM","SVR",-249
5,"BRA","AM","SVR",-315
6,"BRA","AM","SVR",-380
7,"BRA","AM","SVR",-73
8,"BRA","AM","SVR",-104
9,"BRA","AM","SVR",-163
10,"BRA","AM","SVR",-209
11,"BRA","AM","SVR",-269
12,"BRA","AM","SVR",-324
13,"BRA","AM","SVR",-62
14,"BRA","AM","SVR",-83
15,"BRA","AM","SVR",-121
16,"BRA","AM","SVR",-174
17,"BRA","AM","SVR",-221
18,"BRA","AM","SVR",-268
19,"BRA","AM","SVR",-51
20,"BRA","AM","SVR",-79
21,"BRA","AM","SVR",-102
22,"BRA","AM","SVR",-68
23,"BRA","AM","SVR",-31
24,"BRA","AM","SVR",-8
25,"BRA","AM","SVR",95
26,"BRA","AM","SVR",95
27,"BRA","AM","SVR",86
28,"BRA","AM","SVR",55
29,"BRA","AM","SVR",109
30,"BRA","AM","SVR",70
31,"BRA","AM","SVR",71
32,"BRA","AM","SVR",27
33,"BRA","AM","SVR",58
34,"BRA","AM","SVR",14
35,"BRA","AM","SVR",-42
36,"BRA","AM","SVR",-45
37,"BRA","AM","SVR",-40
38,"BRA","AM","SVR",-92
39,"BRA","AM","SVR",-54
40,"BRA","AM","SVR",252
41,"BRA","AM","SVR",364
42,"BRA","AM","SVR",615
43,"BRA","AM","SVR",606
44,"BRA","AM","SVR",488
45,"BRA","AM","SVR",671
1,"BRA","AM","CUBIST",-1
2,"BRA","AM","CUBIST",-2
3,"BRA","AM","CUBIST",-4
4,"BRA","AM","CUBIST",-11
5,"BRA","AM","CUBIST",-14
6,"BRA","AM","CUBIST",-14
7,"BRA","AM","CUBIST",2
8,"BRA","AM","CUBIST",8
9,"BRA","AM","CUBIST",6
10,"BRA","AM","CUBIST",14
11,"BRA","AM","CUBIST",16
12,"BRA","AM","CUBIST",14
13,"BRA","AM","CUBIST",-5
14,"BRA","AM","CUBIST",-1
15,"BRA","AM","CUBIST",2
16,"BRA","AM","CUBIST",-9
17,"BRA","AM","CUBIST",-9
18,"BRA","AM","CUBIST",-12
19,"BRA","AM","CUBIST",0
20,"BRA","AM","CUBIST",-3
21,"BRA","AM","CUBIST",-58
22,"BRA","AM","CUBIST",-53
23,"BRA","AM","CUBIST",-51
24,"BRA","AM","CUBIST",-66
25,"BRA","AM","CUBIST",43
26,"BRA","AM","CUBIST",34
27,"BRA","AM","CUBIST",15
28,"BRA","AM","CUBIST",3
29,"BRA","AM","CUBIST",36
30,"BRA","AM","CUBIST",-20
31,"BRA","AM","CUBIST",83
32,"BRA","AM","CUBIST",37
33,"BRA","AM","CUBIST",80
34,"BRA","AM","CUBIST",61
35,"BRA","AM","CUBIST",37
36,"BRA","AM","CUBIST",40
37,"BRA","AM","CUBIST",-26
38,"BRA","AM","CUBIST",-50
39,"BRA","AM","CUBIST",16
40,"BRA","AM","CUBIST",264
41,"BRA","AM","CUBIST",424
42,"BRA","AM","CUBIST",724
43,"BRA","AM","CUBIST",781
44,"BRA","AM","CUBIST",730
45,"BRA","AM","CUBIST",994
1,"BRA","AM","BRNN",-5
2,"BRA","AM","BRNN",0
3,"BRA","AM","BRNN",-2
4,"BRA","AM","BRNN",-10
5,"BRA","AM","BRNN",-10
6,"BRA","AM","BRNN",-8
7,"BRA","AM","BRNN",11
8,"BRA","AM","BRNN",24
9,"BRA","AM","BRNN",20
10,"BRA","AM","BRNN",34
11,"BRA","AM","BRNN",43
12,"BRA","AM","BRNN",45
13,"BRA","AM","BRNN",-11
14,"BRA","AM","BRNN",-9
15,"BRA","AM","BRNN",-12
16,"BRA","AM","BRNN",-32
17,"BRA","AM","BRNN",-44
18,"BRA","AM","BRNN",-58
19,"BRA","AM","BRNN",-9
20,"BRA","AM","BRNN",-28
21,"BRA","AM","BRNN",-40
22,"BRA","AM","BRNN",-8
23,"BRA","AM","BRNN",5
24,"BRA","AM","BRNN",3
25,"BRA","AM","BRNN",48
26,"BRA","AM","BRNN",29
27,"BRA","AM","BRNN",4
28,"BRA","AM","BRNN",-59
29,"BRA","AM","BRNN",-7
30,"BRA","AM","BRNN",-51
31,"BRA","AM","BRNN",83
32,"BRA","AM","BRNN",39
33,"BRA","AM","BRNN",84
34,"BRA","AM","BRNN",52
35,"BRA","AM","BRNN",34
36,"BRA","AM","BRNN",39
37,"BRA","AM","BRNN",-5
38,"BRA","AM","BRNN",-14
39,"BRA","AM","BRNN",28
40,"BRA","AM","BRNN",284
41,"BRA","AM","BRNN",393
42,"BRA","AM","BRNN",715
43,"BRA","AM","BRNN",844
44,"BRA","AM","BRNN",729
45,"BRA","AM","BRNN",1041
1,"BRA","AM","QRF",0
2,"BRA","AM","QRF",0
3,"BRA","AM","QRF",0
4,"BRA","AM","QRF",0
5,"BRA","AM","QRF",1
6,"BRA","AM","QRF",0
7,"BRA","AM","QRF",4
8,"BRA","AM","QRF",15
9,"BRA","AM","QRF",6
10,"BRA","AM","QRF",15
11,"BRA","AM","QRF",0
12,"BRA","AM","QRF",0
13,"BRA","AM","QRF",0
14,"BRA","AM","QRF",0
15,"BRA","AM","QRF",0
16,"BRA","AM","QRF",0
17,"BRA","AM","QRF",0
18,"BRA","AM","QRF",0
19,"BRA","AM","QRF",0
20,"BRA","AM","QRF",0
21,"BRA","AM","QRF",0
22,"BRA","AM","QRF",0
23,"BRA","AM","QRF",0
24,"BRA","AM","QRF",0
25,"BRA","AM","QRF",0
26,"BRA","AM","QRF",0
27,"BRA","AM","QRF",0
28,"BRA","AM","QRF",0
29,"BRA","AM","QRF",0
30,"BRA","AM","QRF",0
31,"BRA","AM","QRF",0
32,"BRA","AM","QRF",0
33,"BRA","AM","QRF",0
34,"BRA","AM","QRF",0
35,"BRA","AM","QRF",0
36,"BRA","AM","QRF",0
37,"BRA","AM","QRF",0
38,"BRA","AM","QRF",0
39,"BRA","AM","QRF",209
40,"BRA","AM","QRF",618
41,"BRA","AM","QRF",924
42,"BRA","AM","QRF",1365
43,"BRA","AM","QRF",1618
44,"BRA","AM","QRF",1658
45,"BRA","AM","QRF",2067
1,"BRA","CE","KNN",-173
2,"BRA","CE","KNN",-69
3,"BRA","CE","KNN",-25
4,"BRA","CE","KNN",-99
5,"BRA","CE","KNN",32
6,"BRA","CE","KNN",-95
7,"BRA","CE","KNN",-242
8,"BRA","CE","KNN",19
9,"BRA","CE","KNN",-78
10,"BRA","CE","KNN",10
11,"BRA","CE","KNN",123
12,"BRA","CE","KNN",176
13,"BRA","CE","KNN",123
14,"BRA","CE","KNN",-129
15,"BRA","CE","KNN",59
16,"BRA","CE","KNN",42
17,"BRA","CE","KNN",171
18,"BRA","CE","KNN",-19
19,"BRA","CE","KNN",439
20,"BRA","CE","KNN",241
21,"BRA","CE","KNN",182
22,"BRA","CE","KNN",388
23,"BRA","CE","KNN",282
24,"BRA","CE","KNN",-61
25,"BRA","CE","KNN",49
26,"BRA","CE","KNN",9
27,"BRA","CE","KNN",71
28,"BRA","CE","KNN",281
29,"BRA","CE","KNN",553
30,"BRA","CE","KNN",231
31,"BRA","CE","KNN",-30
32,"BRA","CE","KNN",378
33,"BRA","CE","KNN",180
34,"BRA","CE","KNN",359
35,"BRA","CE","KNN",647
36,"BRA","CE","KNN",773
37,"BRA","CE","KNN",1576
38,"BRA","CE","KNN",1654
39,"BRA","CE","KNN",2324
40,"BRA","CE","KNN",2793
41,"BRA","CE","KNN",3657
42,"BRA","CE","KNN",3952
1,"BRA","CE","SVR",-78
2,"BRA","CE","SVR",-128
3,"BRA","CE","SVR",-147
4,"BRA","CE","SVR",-210
5,"BRA","CE","SVR",-230
6,"BRA","CE","SVR",-264
7,"BRA","CE","SVR",-50
8,"BRA","CE","SVR",-89
9,"BRA","CE","SVR",-150
10,"BRA","CE","SVR",-182
11,"BRA","CE","SVR",-235
12,"BRA","CE","SVR",-291
13,"BRA","CE","SVR",-63
14,"BRA","CE","SVR",-153
15,"BRA","CE","SVR",-203
